city,lage,baujahr,size_class,size_m2,rent_per_sqm,rent_total,year
Berlin,gut,bis 1918,over 90,100,11.41,1141.0,2024
Berlin,gut,1919-1949,under 40,30,13.3,399.0,2024
Berlin,gut,1919-1949,40–60,50,12.72,636.0,2024
Berlin,gut,1919-1949,60–90,75,12.19,914.0,2024
Berlin,gut,1919-1949,over 90,100,11.65,1165.0,2024
Berlin,gut,1950-1964,under 40,30,13.85,416.0,2024
Berlin,gut,1950-1964,40–60,50,13.26,663.0,2024
Berlin,gut,1950-1964,60–90,75,12.71,953.0,2024
Berlin,gut,1950-1964,over 90,100,12.15,1215.0,2024
Berlin,gut,1965-1974,under 40,30,14.29,429.0,2024
Berlin,gut,1965-1974,40–60,50,13.68,684.0,2024
Berlin,gut,1965-1974,60–90,75,13.12,984.0,2024
Berlin,gut,1965-1974,over 90,100,12.54,1254.0,2024
Berlin,gut,1975-1990,under 40,30,14.77,443.0,2024
Berlin,gut,1975-1990,40–60,50,14.14,707.0,2024
Berlin,gut,1975-1990,60–90,75,13.56,1017.0,2024
Berlin,gut,1975-1990,over 90,100,12.96,1296.0,2024
Berlin,gut,1991-2000,under 40,30,15.36,461.0,2024
Berlin,gut,1991-2000,40–60,50,14.7,735.0,2024
Berlin,gut,1991-2000,60–90,75,14.1,1058.0,2024
Berlin,gut,1991-2000,over 90,100,13.48,1348.0,2024
Berlin,gut,2001-2010,under 40,30,16.01,480.0,2024
Berlin,gut,2001-2010,40–60,50,15.33,766.0,2024
Berlin,gut,2001-2010,60–90,75,14.7,1102.0,2024
Berlin,gut,2001-2010,over 90,100,14.05,1405.0,2024
Berlin,gut,2011-2024,under 40,30,17.03,511.0,2024
Berlin,gut,2011-2024,40–60,50,16.31,815.0,2024
Berlin,gut,2011-2024,60–90,75,15.64,1173.0,2024
Berlin,gut,2011-2024,over 90,100,14.96,1496.0,2024
